"","ensemble_id","desc_run_id","mesh_run_id","desc_word2vecdim","desc_max_length","mesh_word2vecdim","mesh_max_length","accuracy","kappa","sensitivity","specificity","balanced_accuracy","rank_accuracy","rank_kappa","rank_sensitivity","rank_specificity","rank_balanced_accuracy","rank_sum","rank_avg"
"60",62,7,8,32,600,100,600,0.937654320987654,0.609781376685364,0.953897550111359,0.74054054054054,0.84721904532595,71.5,53,68.5,20.5,21,234.5,78.1666666666667
"61",51,6,6,300,300,300,300,0.938271604938272,0.608747049563467,0.955011135857461,0.735135135135135,0.845073135496298,65.5,61,61.5,25.5,27,240.5,80.1666666666667
"62",76,9,4,300,600,32,300,0.937448559670782,0.609636278239344,0.953674832962138,0.74054054054054,0.847107686751339,74.5,54,70,20.5,22,241,80.3333333333333
"63",11,2,2,100,150,100,150,0.941152263374486,0.606915151004582,0.962360801781737,0.683783783783784,0.82307229278276,30,67,28,58.5,59,242.5,80.8333333333333
"64",63,7,9,32,600,300,600,0.942592592592593,0.586494222121998,0.96792873051225,0.635135135135135,0.801531932823692,14,74,9.5,74,74,245.5,81.8333333333333
"65",78,9,6,300,600,300,300,0.936625514403292,0.606106852203964,0.952115812917595,0.748648648648649,0.850382230783122,76.5,70,74.5,12.5,15,248.5,82.8333333333333
"66",45,5,9,100,300,300,600,0.942592592592593,0.585456218735474,0.968819599109131,0.624324324324324,0.796571961716728,15.5,75,6.5,76.5,76,249.5,83.1666666666667
"67",73,9,1,300,600,32,150,0.936008230452675,0.607532758589368,0.951447661469933,0.748648648648649,0.850048155059291,80,65,78.5,12.5,16,252,84
"68",75,9,3,300,600,300,150,0.938683127572016,0.60924747887618,0.956570155902004,0.721621621621622,0.839095888761813,59,57,52.5,41.5,43,253,84.3333333333333
"69",79,9,7,300,600,32,600,0.93641975308642,0.606988390238997,0.952338530066815,0.743243243243243,0.847790886655029,78,66,72.5,17.5,19,253,84.3333333333333
"70",77,9,5,300,600,100,300,0.937654320987654,0.608766485786669,0.95456570155902,0.732432432432432,0.843499066995726,71.5,60,64,28.5,31,255,85
"71",46,6,1,300,300,32,150,0.937860082304527,0.609090456896452,0.955011135857461,0.72972972972973,0.842370432793595,68,59,61.5,32.5,37,258,86
"72",80,9,8,300,600,100,600,0.936213991769547,0.606779740914517,0.952115812917595,0.743243243243243,0.847679528080419,79,69,74.5,17.5,20,260,86.6666666666667
"73",12,2,3,100,150,300,150,0.940740740740741,0.601573947783301,0.962583518930958,0.675675675675676,0.819129597303317,37,71,25.5,63.5,64,261,87
"74",9,1,9,32,150,300,600,0.941152263374486,0.542840538921254,0.97260579064588,0.559459459459459,0.76603262505267,28,79,2,80,80,269,89.6666666666667
"75",81,9,9,300,600,300,600,0.940946502057613,0.529157798642691,0.971269487750557,0.572972972972973,0.772121230361765,33,80,3,79,79,274,91.3333333333333
"76",74,9,2,300,600,100,150,0.937654320987654,0.607837514234898,0.955011135857461,0.727027027027027,0.841019081442244,71.5,64,61.5,38,40,275,91.6666666666667
"77",27,3,9,300,150,300,600,0.940740740740741,0.528657893375552,0.973719376391982,0.540540540540541,0.757129958466261,37,81,1,81,81,281,93.6666666666667
"78",15,2,6,100,150,300,300,0.938477366255144,0.599825941497528,0.957906458797327,0.702702702702703,0.830304580750015,62.5,72,44.5,51.5,52,282.5,94.1666666666667
"79",18,2,9,100,150,300,600,0.939094650205761,0.544169025342497,0.969042316258352,0.575675675675676,0.772358995967014,52.5,78,4.5,78,78,291,97
"80",72,8,9,100,600,300,600,0.939094650205761,0.57475921521415,0.96369710467706,0.64054054054054,0.8021188226088,52.5,76,21.5,73,73,296,98.6666666666667
"81",54,6,9,300,300,300,600,0.938683127572016,0.565379275063012,0.964587973273942,0.624324324324324,0.794456148799133,59,77,17,76.5,77,306.5,102.166666666667
